Resume Index,Match Score,Semantic Score,Level,Skill Score,Final Score,Strengths,Weaknesses
5626,100.0,100.0,Mid,0,84.0,[],"['Python', 'SQL', 'Machine Learning']"
7562,44.02,43.79,Senior,0,50.72,[],"['Python', 'SQL', 'Machine Learning']"
3232,46.3,52.71,Mid,0,48.98,[],"['Python', 'SQL', 'Machine Learning']"
29307,41.51,38.34,Senior,1,48.79,[],"['Python', 'SQL', 'Machine Learning']"
3272,49.59,46.34,Mid,1,48.41,[],"['Python', 'SQL', 'Machine Learning']"
3254,49.59,46.34,Mid,1,48.41,[],"['Python', 'SQL', 'Machine Learning']"
7526,41.95,54.51,Mid,0,48.39,[],"['Python', 'SQL', 'Machine Learning']"
9308,50.27,46.98,Mid,0,47.87,[],"['Python', 'SQL', 'Machine Learning']"
7172,50.27,46.98,Mid,0,47.87,[],"['Python', 'SQL', 'Machine Learning']"
9336,50.27,46.98,Mid,0,47.87,[],"['Python', 'SQL', 'Machine Learning']"
